Timestamp,S,Um,Vm,Wm,Ur,Vr,U,V,U_err,S_err,W_err,V_err,W,Sc,WD,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Rho,Rho_err,V_avg,U_avg,W_avg,S_avg,WD_avg,V_avg_err,U_avg_err,W_avg_err,S_avg_err,Nx,Ny,cross_wind,cross_wind_err
2023-04-19 07:22:15.063875,6.79,-6.61,-1.35,-0.78,-1.640177860381296,6.544036719511516,-0.917932860381296,6.850290719511516,0.3816153665990307,0.0,-0.0,0.20960261890144546,-0.8737062,6.911518189080703,172.36788001544093,16.91,886.81,49.84,63.0,2.0,0.306254,0.722245,0.0937062,32.6920243,-103.07514,1158.27917,87.4725218,7.21697417,-6.99029532,2.28474,52.2205,13577.5,26.151,11772.0,0.875932,0.128553,14.0,-1178.0,79.0,,0.0,,1.0650686185876719,0.014077424559185868,6.6435686247965275,-1.3010556263164799,-0.76385328,6.822336183542207,168.8029026013584,0.22053288470098958,0.37429215442635405,0.0,0.0,0.9206518730375954,-0.39038459072095466,6.624325966257479,0.250146453543115
2023-04-19 07:22:16.064265,6.7,-6.53,-1.43,-0.53,-1.6800227327662054,6.47018729384156,-0.30166273276620537,6.87281729384156,0.37945261869692215,0.0,-0.0,0.21197015794117302,-0.370827,6.879434421438117,177.48677810457588,16.75,886.84,50.34,72.0,2.0,0.40263,1.37836,-0.159173,32.6920275,-103.075126,1158.29456,87.7964192,7.07889259,-7.01275312,2.28658,51.5247,13559.0,26.1512,11757.0,0.583205,-1.0,13.0,-1173.0,79.0,,0.0,,1.0656924955694609,0.01408743988682696,6.561404880565272,-0.5358293396642868,-0.51399868,6.589716525171033,175.29942024719836,0.21768482153083513,0.36732719075751674,0.0,0.0,0.959886045736945,-0.2803904049704473,6.448442390828407,0.23295744798392018
2023-04-19 07:22:17.064474,7.15,-6.27,-3.37,-0.64,-3.608939689607714,6.135581008899986,-2.1143796896077136,6.404574008899986,0.36918427043607394,0.0,-0.0,0.2645731522871668,-0.6706474,6.744565939132246,161.73008944877915,17.07,886.84,49.38,70.0,2.0,0.268993,1.49456,0.0306474,32.6920306,-103.07511,1158.4303,87.7931637,8.70619992,-8.7016464,2.28756,51.4247,13548.5,26.1503,11757.0,0.331839,-1.0,13.0,-1173.0,79.0,,0.0,,1.064517450436175,0.01406768251425375,6.522979802243588,-1.5462589812556986,-0.36860603999999997,6.7352910374449895,167.08302783622264,0.24765592668128605,0.3721873134615923,0.0,0.0,0.9841865155969809,-0.17713526615858768,6.693725759074435,0.2524983944287977
2023-04-19 07:22:18.064575,9.33,-8.25,-4.35,-0.1,-4.610273540696259,8.107427328071216,-3.206003540696259,8.209452328071215,0.452082448623613,0.0,-0.0,0.3004511852357501,-0.008720600000000009,8.813260817077346,158.66806851081967,16.83,886.81,50.16,87.0,2.0,0.102025,1.40427,-0.0912794,32.6920309,-103.075095,1158.29761,88.1768139,6.19650779,-6.20568692,2.28949,51.946,13533.4,26.15,11777.0,0.176143,-1.0,12.0,-1167.0,79.0,,0.0,,1.0653624508846824,0.014082365562719119,7.610389177388062,-2.8569203316404477,-0.29146219999999995,8.13333723805464,159.6051021889804,0.28862517360735196,0.4251050826471018,0.0,0.0,0.9973711439988046,-0.0724624117630364,7.797401897573173,0.28950987986436083
2023-04-19 07:22:19.064205,8.32,-7.6,-3.4,-0.2,-3.699050919399834,7.4590228780777466,-2.199510919399834,7.740632878077746,0.42263087775691327,0.0,-0.0,0.2655547423749443,-0.19185049,8.047064411183577,164.13743187862354,16.46,886.8,51.44,83.0,2.0,0.28161,1.49954,-0.00814951,32.6920325,-103.07508,1158.27686,87.7246726,7.24203703,-7.18598005,2.29085,52.5165,13533.7,26.1493,11818.0,0.210665,-1.0,11.0,-1196.0,79.0,,0.0,,1.0667115080793415,0.014105220208015842,7.64506313243419,-2.691965407001333,-0.379731678,8.112828377137216,160.69234478195716,0.2838452290065697,0.4200729282720171,0.0,0.0,0.9828191691039182,-0.18457107260316769,8.010573538146827,0.2895424946747366
2023-04-19 07:22:20.063814,7.42,-6.68,-3.18,-0.48,-3.4181012478523694,6.561355337080142,-1.9252812478523693,6.809948337080142,0.385894044585217,0.0,-0.0,0.2583086129410774,-0.47439726,7.076871076756491,164.21355430784627,16.43,886.83,51.5,81.0,2.0,0.248593,1.49282,-0.00560274,32.692035,-103.075064,1158.23413,87.9396782,7.22457679,-7.19401835,2.2895,52.5331,13494.7,26.1478,11814.0,0.38228,-1.0,12.0,-1214.0,79.0,,0.0,,1.0668581076486792,0.014107210294719287,6.807500680482366,-2.163098999518849,-0.525456514,7.149746515311003,162.46181700117899,0.2656958069248957,0.38774256303192367,0.0,0.0,0.9864164523096031,-0.1642637592804226,7.070349443693312,0.2697148933248542
2023-04-19 07:22:21.064032,7.98,-7.06,-3.69,-0.47,-3.9531741583854,6.91607649418902,-2.4307041583854003,6.97045019418902,0.40092756565241877,0.0,-0.0,0.2758474776896098,-0.39373919999999996,7.382106651577301,160.7755437896196,16.51,886.82,51.23,104.0,2.0,0.0543737,1.52247,-0.0762608,32.6920368,-103.075048,1158.38574,87.8424579,7.21830553,-7.17956138,2.28961,52.303,13456.0,26.1474,11820.0,0.409235,-1.0,12.0,-1215.0,79.0,,0.0,,1.0665514298150327,0.014102208209128069,6.91416239908658,-2.474379732503251,-0.64774065,7.344432585249686,160.33144724739702,0.2776502518870756,0.3988993901844989,0.0,0.0,0.9993628596991524,-0.03569138066721782,6.998071136523539,0.2778383696729956
2023-04-19 07:22:22.064085,5.81,-5.73,-0.41,-0.83,-0.6561077782413979,5.707059013478934,1.041552221758602,5.687120413478934,0.3478003719000093,0.0,-0.0,0.1987918493976116,-0.7633608,5.781709922510735,190.37826708875923,16.46,886.82,51.3,67.0,2.0,-0.0199386,1.69766,-0.0666392,32.6920374,-103.075031,1158.34155,87.5345478,7.00182007,-6.91028249,2.29252,52.1855,13425.5,26.1464,11828.0,0.402058,-1.0,12.0,-1217.0,79.0,,0.0,,1.066735565623502,0.014105306975068838,6.099002708812971,-0.3907439416207153,-0.5701316399999999,6.24385786187557,177.12461824218192,0.22719786340162612,0.3648964678097561,0.0,0.0,0.9999310375047394,0.011743944596914097,6.093993231165597,0.22722260857727075
2023-04-19 07:22:23.064105,7.67,-6.87,-3.38,-0.45,-3.597030276356346,6.758895855905445,-1.817080276356346,6.772678855905445,0.39437057163133704,0.0,-0.0,0.2652035500782581,-0.3892514,7.012200768371649,164.9814807796343,16.57,886.86,51.16,66.0,2.0,0.013783,1.77995,-0.0607486,32.6920373,-103.075013,1158.14551,88.1753668,6.13575409,-6.17775456,2.28929,53.088,13403.2,26.145,11823.0,0.456514,-1.0,14.0,-1220.0,79.0,,0.0,,1.0663786475595438,0.014098664872974866,6.180379937967118,-0.9256302356434256,-0.395989158,6.272873794591048,171.69709000799395,0.23871279621299069,0.37000187826035047,0.0,0.0,0.9999700206383778,-0.007743243795865148,6.187362034701406,0.23872283250814
2023-04-19 07:22:24.064318,5.84,-5.7,-1.13,-0.61,-1.350482559580392,5.651822436725095,0.3303174404196081,5.607886036725096,0.3471682965937083,0.0,-0.0,0.2069682752446198,-0.5790972,5.6176058434480485,183.37095885919985,16.68,886.88,50.04,83.0,2.0,-0.0439364,1.6808,-0.0309028,32.6920369,-103.074997,1158.09912,87.7746072,6.32629049,-6.30964368,2.29339,52.3039,13408.7,26.1434,11777.0,0.47406,-1.0,15.0,-1192.0,79.0,,0.0,,1.0659979611369264,0.01409194250844847,6.072596250400197,-0.5149196867615485,-0.53170043,6.157248113276957,175.85409182931082,0.22679919457030384,0.36600973903241785,0.0,0.0,0.9996585207128031,0.026131245019900853,6.05706709206084,0.2269233931632604
