Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Rho,Rho_err,Vr,Ur,Wr,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg
2023-04-19 07:10:05.669701,0.0,3.45,1.94,2.85,-0.13,16.71,887.15,52.03,25.0,0.0,0.000472092,-0.000696609,0.00278551,32.6911159,-103.075253,1156.2234099999998,-25.5573686,0.533918142,1.04556597,,,,,,,,,,,,,,1.0662121289544402,0.0140912554530568,3.408082604886357,0.5206466731585111,-0.13,3.447983931355319,3.4085546968863567,0.5199500641585111,-0.13278551,81.32680882517154,0.2795280959666588,0.167621071381758,,,,,,,
2023-04-19 07:10:05.863445,0.193744,3.11,1.64,2.61,-0.42,16.75,887.17,51.88,19.0,0.0,-0.000212286,0.000197063,0.00245158,32.6911159,-103.075253,1156.22012,-25.5440015,0.53383962,1.04081906,,,,,,,,,,,,,,1.0660890479617051,0.0140888678688838,3.062058751013129,0.3542544358845989,-0.42,3.0822945414698664,3.061846465013129,0.3544514988845989,-0.42245158,83.3966064922269,0.2782144495464114,0.1527467084158437,,,,,,,
2023-04-19 07:10:06.062895,0.393194,3.47,1.48,3.1,-0.45,16.74,887.16,52.38,18.0,0.0,-0.000358939,-0.000172314,0.00120992,32.6911158,-103.075253,1156.2120599999998,-25.5272825,0.530636213,1.04603755,2.17984,57.6695,15647.8,23.3845,11888.0,-0.296743,-1.0,13.0,-1200.0,81.0,,0.0,,1.0661138064487086,0.0140894430472738,3.435171006637169,-0.0003939027505583,-0.45,3.4348121143065944,3.4348120676371696,-0.0005662167505583,-0.45120992,90.00944500868285,0.2809794927401504,0.1453448790142233,3.216160746066773,77.64023352985215,3.1045385968840784,0.657878847338015,-0.31588544,0.1678851470313351,0.2779101999142919
2023-04-19 07:10:06.263440,0.593739,3.08,2.34,1.98,-0.31,16.67,887.18,52.2,26.0,0.0,-0.000391357,-0.000327955,0.00140688,32.6911158,-103.075253,1156.21426,-25.5150885,0.533830311,1.03533736,,,,,,,,,,,,,,1.0663953442025411,0.0140938604064174,2.7948464506481585,1.2589016313038088,-0.31,3.06479803071932,2.7944550936481587,1.258573676303809,-0.31140688,65.75403214342349,0.2752817416015193,0.1890311998555481,,,,,,,
2023-04-19 07:10:06.463066,0.793365,3.06,2.26,2.05,-0.26,16.42,887.14,53.02,19.0,0.0,-0.000201307,-0.000380386,0.00157331,32.6911158,-103.075253,1156.2018099999998,-25.4985671,0.535936559,1.0464913,,,,,,,,,,,,,,1.0672678939325613,0.014109175973005,2.8232259682355774,1.1573656000937147,-0.26,3.050915112482765,2.823024661235577,1.156985214093715,-0.26157331,67.71427517975597,0.2755472197167195,0.1846818764893022,,,,,,,
2023-04-19 07:10:06.663439,0.993738,3.57,2.97,1.98,-0.15,16.84,887.15,51.69,19.0,0.0,-0.00105631,8.75544e-05,-2.30609e-05,32.6911158,-103.075253,1156.20156,-25.4812609,0.535857224,1.03738952,,,,,,,,,,,,,,1.0657341553113349,0.0140832177236419,3.0651387056327333,1.8292689018381345,-0.15,3.568633628044013,3.064082395632733,1.8293564562381344,-0.1499769390999999,59.161430069694816,0.2752409752528357,0.2249702641265851,,,,,,,
2023-04-19 07:10:06.863694,1.193993,2.85,2.32,1.66,0.02,16.87,887.15,51.52,26.0,0.0,0.000608868,-0.000710071,-0.000485844,32.6911158,-103.075253,1156.19326,-25.4646303,0.537601928,1.04594682,,,,,,,,,,,,,,1.0656239145532511,0.0140813641850198,2.4962253440241686,1.3808906661468243,0.02,2.852907211521993,2.4968342120241687,1.3801805951468242,0.020485844,61.067401528997,0.274035278199485,0.1880108441199135,,,,,,,
2023-04-19 07:10:07.063132,1.393431,2.57,0.86,2.4,-0.32,16.97,887.16,51.2,18.0,0.0,-0.00108666,6.89828e-05,0.000204555,32.6911157,-103.075253,1156.19155,-25.4485843,0.536543226,1.03887533,2.17982,56.5598,15659.3,23.3933,11826.0,-0.302561,-1.0,14.0,-1175.0,81.0,,0.0,,1.0652686176458577,0.0140752324873726,2.536673832267794,-0.2547270474209984,-0.32,2.5483431947140684,2.5355871722677947,-0.2546580646209984,-0.320204555,95.73518769394258,0.2770667611610006,0.1214217549879471,2.606907865503815,82.7773454767883,2.4111384889206464,0.4779575672036621,-0.16475035202,0.1536362031804662,0.2752288156806191
2023-04-19 07:10:07.263198,1.593497,2.22,0.99,1.96,-0.37,17.12,887.18,50.67,19.0,0.0,-0.000186432,-0.000166402,0.00198879,32.6911157,-103.075253,1156.19326,-25.4343828,0.536017376,1.04290997,,,,,,,,,,,,,,1.0647421320039292,0.0140660666572615,2.1952147192581486,0.0522717548238729,-0.37,2.19564663588118,2.1950282872581486,0.0521053528238729,-0.37198879,88.64017413117864,0.2751040760860131,0.1257887740687464,,,,,,,
2023-04-19 07:10:07.462883,1.793182,1.87,0.2,1.86,-0.0,17.44,887.18,50.11,26.0,0.0,-0.00160972,0.0005866,0.00206732,32.6911157,-103.075253,1156.18984,-25.4204674,0.537110954,1.04517872,,,,,,,,,,,,,,1.0635696295701176,0.0140463698385481,1.7657700974203887,-0.6177831035695224,-0.0,1.8690086573578228,1.764160377420389,-0.6171965035695224,-0.00206732,109.28253396012842,0.274696987703761,0.107989378599139,,,,,,,
